Edad,Ingreso_Mensual,Monto_Credito,Plazo_Meses,Atrasos_Previos,Cuota_Estimada,Ratio_Deuda_Ingreso,Perfil_Historico,Morosidad,Ingreso_Normalizado
50,11710.16,51528.22,36,4,1431.34,12.22,Riesgoso,1,0.7562724731359661
31,5597.67,59279.43,60,0,987.99,17.65,Confiable,0,0.3033837235406956
32,3310.29,84673.97,48,2,1764.04,53.29,Riesgoso,1,0.13390636356968053
41,6591.66,23206.84,12,3,1933.9,29.34,Riesgoso,1,0.37703077870319124
63,5235.03,68952.67,24,1,2873.03,54.88,Confiable,1,0.2765148736688383
35,13514.42,6050.28,60,4,100.84,0.75,Riesgoso,1,0.8899543368845797
59,6243.45,90147.88,36,1,2504.11,40.11,Confiable,0,0.3512310814445341
24,3700.38,43637.3,60,0,727.29,19.65,Confiable,0,0.16280904845417427
35,9518.95,61844.6,12,2,5153.72,54.14,Riesgoso,1,0.5939205744824465
26,9749.91,51505.06,12,0,4292.09,44.02,Confiable,0,0.6110329436816637
23,8655.63,70919.5,60,2,1181.99,13.66,Riesgoso,0,0.5299551667189017
23,12030.61,69827.95,12,0,5819.0,48.37,Confiable,0,0.7800153667534289
62,7197.31,19203.95,48,3,400.08,5.56,Riesgoso,1,0.42190481059402063
33,7395.55,70542.81,36,1,1959.52,26.5,Confiable,0,0.4365928780951153
48,4000.19,89376.0,36,4,2482.67,62.06,Riesgoso,1,0.18502267596377478
52,5115.75,44766.18,12,4,3730.52,72.92,Riesgoso,1,0.2676771381385186
28,7017.44,91603.73,24,0,3816.82,54.39,Confiable,0,0.40857781956586325
52,13021.86,75242.58,48,1,1567.55,12.04,Confiable,0,0.8534594088764118
48,3742.18,11837.98,60,0,197.3,5.27,Confiable,0,0.16590610869199587
42,4916.73,99028.14,12,2,8252.34,167.84,Riesgoso,1,0.2529312786042779
33,5162.71,57476.69,48,4,1197.43,23.19,Riesgoso,1,0.2711565149033058
33,13235.39,92820.9,36,0,2578.36,19.48,Confiable,0,0.8692803484118675
32,2792.99,38719.11,60,1,645.32,23.1,Confiable,0,0.0955783908178832
60,14063.55,23449.26,60,1,390.82,2.78,Confiable,0,0.9306406691428329
55,12201.91,88156.31,24,1,3673.18,30.1,Confiable,0,0.7927073863404824
44,3519.28,32111.13,24,0,1337.96,38.02,Confiable,0,0.1493909238352868
22,7475.58,54809.46,60,4,913.49,12.22,Riesgoso,1,0.44252248888059054
60,7361.22,30431.27,24,0,1267.97,17.22,Confiable,0,0.4340492877131915
34,2557.09,51003.38,24,1,2125.14,83.11,Confiable,0,0.07810000540874157
57,11540.24,6120.38,12,0,510.03,4.42,Confiable,0,0.7436827009921706
52,13519.4,12959.5,36,3,359.99,2.66,Riesgoso,1,0.8903233167885115
26,3278.23,88638.56,12,2,7386.55,225.32,Riesgoso,1,0.13153096282268145
21,6350.8,93091.76,12,2,7757.65,122.15,Riesgoso,1,0.35918489523712144
60,2407.04,44280.61,60,0,738.01,30.66,Confiable,0,0.06698244826316417
47,8400.76,18750.29,24,0,781.26,9.3,Confiable,0,0.5110712494267104
31,9380.28,27943.55,36,2,776.21,8.27,Riesgoso,0,0.5836461882819985
47,6606.78,26294.71,36,1,730.41,11.06,Confiable,0,0.3781510550380205
59,8164.42,68738.81,12,1,5728.23,70.16,Confiable,0,0.49356026338348646
58,4016.5,17809.92,24,4,742.08,18.48,Riesgoso,1,0.1862311221953267
32,3481.88,33106.23,24,2,1379.43,39.62,Riesgoso,1,0.1466198699382885
52,11862.5,37370.62,60,0,622.84,5.25,Confiable,0,0.767559701763472
37,5302.06,39747.5,24,0,1656.15,31.24,Confiable,0,0.281481283901881
57,8405.4,90589.14,48,1,1887.27,22.45,Confiable,0,0.5114150379315786
55,10912.73,32058.11,24,2,1335.75,12.24,Riesgoso,0,0.6971890103262508
26,14296.5,43011.54,48,2,896.07,6.27,Riesgoso,0,0.9479004821189226
46,4268.56,54276.66,36,4,1507.69,35.32,Riesgoso,0,0.20490683998349224
47,1517.14,76563.09,12,4,6380.26,420.55,Riesgoso,1,0.0010476658316458875
49,4447.87,21728.26,24,3,905.34,20.35,Riesgoso,0,0.21819233929554474
29,14375.92,92238.92,12,4,7686.58,53.47,Riesgoso,1,0.9537848965707838
59,1698.43,33354.3,24,2,1389.76,81.83,Riesgoso,0,0.01447986799706891
38,4420.13,77804.41,12,3,6483.7,146.69,Riesgoso,1,0.21613701750135406
37,4684.12,66105.08,60,1,1101.75,23.52,Confiable,0,0.2356966570272519
58,3573.44,36394.02,12,0,3032.83,84.87,Confiable,0,0.1534037655214212
45,14504.1,99843.87,24,4,4160.16,28.68,Riesgoso,1,0.9632820540177689
37,9439.76,65637.72,36,3,1823.27,19.31,Riesgoso,0,0.5880532012711284
38,6157.26,13090.5,36,1,363.62,5.91,Confiable,0,0.3448450617819062
53,12324.49,94701.34,60,2,1578.36,12.81,Riesgoso,0,0.8017896266264197
29,11468.02,58884.21,24,3,2453.51,21.39,Riesgoso,0,0.7383317514616569
62,7754.01,36538.91,48,2,761.23,9.82,Riesgoso,0,0.46315202194319044
41,4502.99,48888.22,36,1,1358.01,30.16,Confiable,0,0.2222763096378588
44,10841.13,75149.58,60,3,1252.49,11.55,Riesgoso,1,0.6918839980528529
50,14325.72,23384.88,60,4,389.75,2.72,Riesgoso,1,0.9500654605913903
51,10538.14,63698.1,60,3,1061.64,10.07,Riesgoso,1,0.6694347568696575
60,6524.95,48979.79,60,3,816.33,12.51,Riesgoso,1,0.37208807802220845
33,13589.64,6783.34,24,4,282.64,2.08,Riesgoso,0,0.8955275634656548
58,6429.5,39931.69,36,1,1109.21,17.25,Confiable,0,0.3650159631968478
57,8326.45,99342.13,36,0,2759.5,33.14,Confiable,0,0.5055654468843056
28,6554.76,17667.19,60,3,294.45,4.49,Riesgoso,1,0.3742967709812865
41,6767.73,61910.03,60,0,1031.83,15.25,Confiable,0,0.3900762188006375
63,2603.88,83582.83,48,4,1741.31,66.87,Riesgoso,1,0.08156678647399693
41,11028.66,33016.11,24,4,1375.67,12.47,Riesgoso,1,0.7057785364834437
58,10923.74,33982.48,24,3,1415.94,12.96,Riesgoso,1,0.698004767101811
46,1622.86,51091.48,24,4,2128.81,131.18,Riesgoso,1,0.008880709093428224
62,5108.44,75906.2,60,1,1265.1,24.76,Confiable,0,0.26713552305865074
23,10512.93,11296.37,48,3,235.34,2.24,Riesgoso,1,0.6675668887214402
53,8096.54,91801.15,24,4,3825.05,47.24,Riesgoso,1,0.4885308746527847
26,13095.82,88511.93,12,3,7375.99,56.32,Riesgoso,1,0.8589392790962511
58,11195.2,70314.02,60,2,1171.9,10.47,Riesgoso,0,0.7181178764836067
26,8950.54,46942.61,12,2,3911.88,43.71,Riesgoso,0,0.5518057417125855
41,3891.45,28336.45,12,4,2361.37,60.68,Riesgoso,1,0.1769658738044273
41,12395.06,86729.04,12,4,7227.42,58.31,Riesgoso,1,0.8070183237791247
23,4378.61,28651.65,36,1,795.88,18.18,Confiable,0,0.2130607031215848
32,4891.7,17047.38,48,0,355.15,7.26,Confiable,0,0.25107674707909433
26,7014.97,32328.14,48,0,673.5,9.6,Confiable,0,0.4083948114609011
30,4429.04,69999.03,60,3,1166.65,26.34,Riesgoso,1,0.21679718034152126
48,6065.47,12561.18,60,4,209.35,3.45,Riesgoso,1,0.33804412495823044
23,2519.72,15065.48,60,4,251.09,9.96,Riesgoso,1,0.07533117428224886
48,13026.44,16766.32,12,2,1397.19,10.73,Riesgoso,0,0.8537987518402688
49,11227.84,13236.46,60,0,220.61,1.96,Confiable,0,0.7205362507937143
55,8184.77,97253.32,48,3,2026.11,24.75,Riesgoso,1,0.4950680427097944
32,4971.49,99486.98,12,1,8290.58,166.76,Confiable,1,0.25698857570052464
40,13180.01,76314.42,48,0,1589.88,12.06,Confiable,0,0.8651771140585048
53,8460.09,23622.59,24,4,984.27,11.63,Riesgoso,1,0.5154671485633123
21,7842.95,57247.06,48,3,1192.65,15.21,Riesgoso,0,0.4697417955688329
31,14993.64,75818.83,48,2,1579.56,10.53,Riesgoso,0,0.9995532231283716
53,9085.03,99698.37,12,0,8308.2,91.45,Confiable,0,0.5617704218892512
27,14351.97,73016.0,48,3,1521.17,10.6,Riesgoso,1,0.9520103847838022
36,12097.64,78456.12,12,0,6538.01,54.04,Confiable,0,0.7849817769864714
57,1810.85,92954.17,48,4,1936.55,106.94,Riesgoso,1,0.022809330005104957
31,12752.02,15650.03,24,1,652.08,5.11,Confiable,0,0.8334663291019192
54,5848.96,54006.2,48,2,1125.13,19.24,Riesgoso,0,0.32200239021921706
41,8436.95,5689.17,12,2,474.1,5.62,Riesgoso,0,0.5137526515799824
55,4859.03,57997.15,48,4,1208.27,24.87,Riesgoso,1,0.2486561499984811
52,14789.49,18079.28,12,0,1506.61,10.19,Confiable,1,0.984427269837671
21,2832.53,14520.7,24,4,605.03,21.36,Riesgoso,1,0.09850800234428198
43,6468.36,66643.35,60,0,1110.72,17.17,Confiable,0,0.36789519192511927
53,7018.1,73949.7,48,1,1540.62,21.95,Confiable,0,0.4086267205169868
36,6879.22,70403.01,48,4,1466.73,21.32,Riesgoso,0,0.3983367749229995
50,10629.59,39349.35,48,1,819.78,7.71,Confiable,0,0.6762105022942696
59,6372.31,34853.7,48,2,726.12,11.39,Riesgoso,1,0.3607786216896464
61,9842.9,7646.6,36,2,212.41,2.16,Riesgoso,0,0.6179227913255639
35,12942.34,87220.53,12,0,7268.38,56.16,Confiable,0,0.8475675851895319
57,2957.65,37464.91,24,0,1561.04,52.78,Confiable,0,0.10777843719969445
37,8367.4,84100.81,36,4,2336.13,27.92,Riesgoso,1,0.5085995286244681
38,8299.39,27159.62,48,3,565.83,6.82,Riesgoso,1,0.503560507888242
51,8941.78,29870.35,12,2,2489.2,27.84,Riesgoso,1,0.5511566927249463
53,14901.57,59975.43,12,4,4997.95,33.54,Riesgoso,1,0.9927315404466435
51,7636.95,11522.44,24,4,480.1,6.29,Riesgoso,1,0.45447877143028614
35,2040.55,17497.58,60,1,291.63,14.29,Confiable,0,0.03982834284308648
40,11339.7,21213.42,24,0,883.89,7.79,Confiable,0,0.7288242210856456
58,4374.86,67461.62,60,1,1124.36,25.7,Confiable,0,0.21278285680838308
45,10354.04,12409.89,36,2,344.72,3.33,Riesgoso,0,0.6557943552002087
35,10250.44,83800.55,60,3,1396.68,13.63,Riesgoso,1,0.648118387720823
48,10054.71,51278.14,48,1,1068.29,10.62,Confiable,0,0.6336162920186978
58,5721.39,83153.49,60,0,1385.89,24.22,Confiable,0,0.31255042910584613
58,8515.87,33981.65,36,3,943.93,11.08,Riesgoso,0,0.5196000198567499
46,9707.98,28928.01,60,4,482.13,4.97,Riesgoso,1,0.6079262514383177
21,10401.6,14944.34,24,0,622.68,5.99,Confiable,0,0.6593181873751081
27,8406.34,24646.86,12,4,2053.91,24.43,Riesgoso,1,0.5114846847407546
31,4319.5,70492.57,60,4,1174.88,27.2,Riesgoso,1,0.20868110430202413
53,4807.82,32487.07,60,0,541.45,11.26,Confiable,0,0.24486188074539866
34,11317.16,30162.78,60,2,502.71,4.44,Riesgoso,0,0.7271541795124279
23,14620.89,76128.63,60,4,1268.81,8.68,Riesgoso,0,0.9719352995961226
64,12421.92,86688.2,24,4,3612.01,29.08,Riesgoso,1,0.8090084443051508
50,2642.48,6222.18,48,2,129.63,4.91,Riesgoso,1,0.08442675119121976
21,2610.02,69093.8,24,0,2878.91,110.3,Confiable,0,0.08202171350414583
58,8915.7,33968.56,36,3,943.57,10.58,Riesgoso,1,0.5492243642320662
34,14435.85,29096.92,36,1,808.25,5.6,Confiable,0,0.9582252511174979
45,5110.16,82723.23,60,2,1378.72,26.98,Riesgoso,0,0.2672629619009726
29,2961.0,99659.12,60,1,1660.99,56.1,Confiable,1,0.1080266465728213
45,13100.42,38906.66,12,0,3242.22,24.75,Confiable,0,0.859280103907112
55,8862.3,40542.63,24,4,1689.28,19.06,Riesgoso,0,0.5452678327320739
31,10481.75,15773.05,60,2,262.88,2.51,Riesgoso,0,0.6652566892426057
22,6214.11,34993.85,36,3,972.05,15.64,Riesgoso,1,0.34905721189004396
46,3780.87,16002.72,60,0,266.71,7.05,Confiable,0,0.16877274172073556
30,6006.14,48571.59,60,4,809.53,13.48,Riesgoso,1,0.3336482258216286
33,3905.38,83680.2,36,2,2324.45,59.52,Riesgoso,0,0.1779979802425339
40,6280.12,70635.14,60,1,1177.25,18.75,Confiable,1,0.3539480479258958
40,10997.73,23725.4,12,3,1977.12,17.98,Riesgoso,0,0.703486860092156
55,8020.77,27841.07,24,0,1160.04,14.46,Confiable,0,0.48291689727910664
57,14844.24,72544.17,60,3,1209.07,8.15,Riesgoso,0,0.9884838260104158
30,5222.58,52521.26,24,3,2188.39,41.9,Riesgoso,0,0.2755924239090087
37,11350.55,92480.75,36,4,2568.91,22.63,Riesgoso,0,0.7296281230851758
64,5503.53,38755.48,24,3,1614.81,29.34,Riesgoso,1,0.2964086696940801
61,4366.76,13160.97,12,3,1096.75,25.12,Riesgoso,0,0.21218270877186746
52,4353.32,78292.42,12,0,6524.37,149.87,Confiable,1,0.21118690758535252
26,4327.42,76508.83,12,3,6375.74,147.33,Riesgoso,1,0.20926791571550613
37,13344.23,96232.95,60,1,1603.88,12.02,Confiable,0,0.8773445598062336
28,3052.32,23011.56,60,3,383.53,12.57,Riesgoso,0,0.11479275999190913
47,6080.73,95382.61,48,3,1987.14,32.68,Riesgoso,1,0.33917477422208586
47,13857.7,22180.13,60,3,369.67,2.67,Riesgoso,0,0.9153887588568144
26,6038.87,36331.94,12,2,3027.66,50.14,Riesgoso,0,0.336073268443253
61,12173.76,62060.38,48,4,1292.92,10.62,Riesgoso,1,0.790621686682715
52,4221.57,17508.7,12,3,1459.06,34.56,Riesgoso,1,0.20142524044819943
39,2896.55,23935.06,24,3,997.29,34.43,Riesgoso,1,0.10325139460326141
63,11618.32,15256.38,48,3,317.84,2.74,Riesgoso,0,0.7494678316947809
51,13056.2,8925.31,48,4,185.94,1.42,Riesgoso,1,0.8560037401818374
27,11012.08,9443.75,24,4,393.49,3.57,Riesgoso,1,0.7045500853173412
27,7977.31,60834.46,60,2,1013.91,12.71,Riesgoso,0,0.4796968437399744
35,13939.18,85398.78,60,1,1423.31,10.21,Confiable,0,0.9214258035500609
60,8811.75,14590.93,48,1,303.98,3.45,Confiable,0,0.541522464430115
60,6525.99,73631.09,48,0,1533.98,23.51,Confiable,0,0.372165134066403
30,8980.92,68913.2,24,2,2871.38,31.97,Riesgoso,0,0.5540566673112701
45,4587.54,14336.94,24,2,597.37,13.02,Riesgoso,0,0.22854081784617983
52,6332.8,57410.97,24,3,2392.12,37.77,Riesgoso,1,0.3578512329337533
45,9219.94,70000.33,24,2,2916.68,31.63,Riesgoso,0,0.5717662208529957
56,10998.72,73422.6,48,4,1529.64,13.91,Riesgoso,1,0.7035602115188413
32,14288.93,57190.87,24,0,2382.95,16.68,Confiable,0,0.9473396030280062
60,12037.23,15171.39,48,3,316.07,2.63,Riesgoso,1,0.7805058581116675
32,3849.67,57794.41,24,0,2408.1,62.55,Confiable,0,0.17387029541360943
45,12285.2,44542.48,12,4,3711.87,30.21,Riesgoso,1,0.7988785381875678
56,4361.34,98867.71,60,4,1647.8,37.78,Riesgoso,1,0.21178112823385326
60,7514.28,23790.41,48,0,495.63,6.6,Confiable,0,0.44538986283283205
63,14958.84,67062.61,24,4,2794.28,18.68,Riesgoso,1,0.9969748093418599
47,10599.75,72429.24,36,0,2011.92,18.98,Confiable,0,0.673999586564686
23,3317.54,98595.11,48,2,2054.06,61.92,Riesgoso,1,0.13444353310853713
36,6139.14,39345.09,60,3,655.75,10.68,Riesgoso,1,0.3435025083965156
21,11967.61,44039.76,60,4,734.0,6.13,Riesgoso,1,0.7753475486916402
